X,Y,CTYUA14CD,CTYUA14NM,CTYUA14NMW,BNG_X,BNG_Y
-3.039597633684417,51.076476673045107,E10000027,Somerset,,327267,131309
-2.027516500997784,52.824803679236581,E10000028,Staffordshire,,398243,325253
1.044182004558155,52.253683063532023,E10000029,Suffolk,,607880,266089
-0.393708111123617,51.2687988393442,E10000030,Surrey,,512157,153408
-1.56738460246206,52.321215446239556,E10000031,Warwickshire,,429584,269323
-0.459578230133447,50.944748845806103,E10000032,West Sussex,,508316,117275
-2.209352888485416,52.21106011365098,E10000034,Worcestershire,,385792,257003
-4.357991723098933,53.281558155042092,W06000001,Isle of Anglesey,Ynys Mon,242891,378659
-4.124168285258103,52.906383541536925,W06000002,Gwynedd,Gwynedd,257240,336441
-3.746469547213245,53.147679629321686,W06000003,Conwy,Conwy,283293,362596
-3.348301519779671,53.110450581523828,W06000004,Denbighshire,Sir Ddinbych,309843,357879
-3.159259175679642,53.217645438378945,W06000005,Flintshire,Sir y Fflint,322690,369582
-3.051880685938636,53.001142837038259,W06000006,Wrexham,Wrecsam,329506,345387
-4.181604374287189,52.293885478723958,W06000008,Ceredigion,Ceredigion,251316,268437
-5.079741691654353,51.850679424265458,W06000009,Pembrokeshire,Sir Benfro,187986,221384
-4.182225753968188,51.890872956821759,W06000010,Carmarthenshire,Sir Gaerfyrddin,249926,223620
-4.089787364999605,51.654836541784888,W06000011,Swansea,Abertawe,255534,197185
-3.747323033758793,51.66934469146792,W06000012,Neath Port Talbot,Castell-nedd Port Talbot,279261,198176
-3.617084128115205,51.557586418669054,W06000013,Bridgend,Pen-y-bont ar Ogwr,287992,185540
-3.404007637218529,51.447515699432792,W06000014,Vale of Glamorgan,Bro Morgannwg,302528,172994
-3.204778350648065,51.466898587683438,W06000015,Cardiff,Caerdydd,316408,174903
-3.414922061752301,51.66474799350798,W06000016,Rhondda Cynon Taf,Rhondda Cynon Taf,302237,197167
-3.198121899338469,51.672465442973092,W06000018,Caerphilly,Caerffili,317245,197757
-3.207405866417908,51.75342060868568,W06000019,Blaenau Gwent,Blaenau Gwent,316752,206771
-3.051089413515393,51.701684376891009,W06000020,Torfaen,Torfaen,327459,200850
-2.902247342018307,51.750522372900633,W06000021,Monmouthshire,Sir Fynwy,337812,206144
-2.962988072028878,51.571900529161248,W06000022,Newport,Casnewydd,333357,186332
-3.434868646406909,52.327683120487684,W06000023,Powys,Powys,302313,270924
-3.363985484141725,51.73991926102866,W06000024,Merthyr Tydfil,Merthyr Tudful,305916,205460
